name,type,star_rating,review_sum,address,월opening_hours,월last_order_time,화opening_hours,화last_order_time,수opening_hours,수last_order_time,목opening_hours,목last_order_time,금opening_hours,금last_order_time,토opening_hours,토last_order_time,일opening_hours,일last_order_time,contact
열정타코,요리주점,4.75,1162,서울 마포구 성미산로29길 42 1층,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,휴무,정보 없음,0507-1386-1365
무채색,요리주점,0.0,463,서울 마포구 동교로32길 19 3층,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-24:00,23:00,0507-1354-4046
이제,요리주점,0.0,161,서울 마포구 동교로 256-3 미소빌딩 1층,17:00-22:50,21:50,휴무,정보 없음,17:00-22:50,21:50,17:00-22:50,21:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-22:50,21:50,0507-1414-1599
모모,이자카야,4.58,501,서울 마포구 동교로 242-6,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-26:00,정보 없음,0507-1369-9781
계담다,요리주점,4.42,정보 없음,"서울 마포구 동교로38길 33-20 지1층, 1층",12:00-25:00,00:00,12:00-25:00,00:00,12:00-25:00,00:00,12:00-25:00,00:00,12:00-26:00,01:00,12:00-26:00,01:00,12:00-25:00,00:00,0507-1321-1881
비등점,이자카야,0.0,285,서울 마포구 동교로38안길 22 1층,17:00-26:00,01:00,휴무,정보 없음,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,0507-1367-3488
시실리,요리주점,0.0,330,서울 마포구 성미산로 198,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-28:00,정보 없음,17:00-28:00,정보 없음,17:00-27:00,정보 없음,0507-1309-8117
쏘슐랭,요리주점,4.73,760,서울 마포구 동교로46길 9 상가1층,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,0507-1397-8483
쿠시파파,이자카야,4.63,458,서울 마포구 동교로 256-4 지층 쿠시파파,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-25:00,정보 없음,0507-1323-3889
이주방,요리주점,4.57,581,서울 마포구 연희로 33 2층,17:00-24:00,정보 없음,휴무,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,0507-1373-3618
무명요리사,이자카야,4.49,487,서울 마포구 동교로32길 3 1층 무명요리사,17:00-29:00,정보 없음,17:00-29:00,정보 없음,17:00-29:00,정보 없음,17:00-29:00,정보 없음,17:00-29:00,정보 없음,17:00-29:00,정보 없음,17:00-29:00,정보 없음,02-3144-3884
카시,이자카야,4.57,644,서울 마포구 동교로34길 12,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,휴무,23:00,02-6083-2683
아디오도시 파리,와인,4.75,725,서울 마포구 동교로46길 7 지하 아디오도시,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,0507-1407-9342
쿠보,이자카야,0.0,122,서울 마포구 동교로 258-1 2층,17:00-26:00,정보 없음,17:00-26:00,정보 없음,휴무,정보 없음,17:00-26:00,정보 없음,17:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-26:00,정보 없음,0507-1359-4352
바다약방,요리주점,0.0,572,서울 마포구 동교로 266-11 1층 바다약방,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-26:00,01:00,16:00-26:00,01:00,16:00-24:00,23:00,0507-1420-9015
연남 안테이쿠,이자카야,0.0,126,서울 마포구 연희로1길 59-3 1층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-27:00,02:00,15:00-27:00,02:00,15:00-25:00,00:00,0507-1391-1480
연남동미로끝,요리주점,0.0,69,서울 마포구 성미산로 190-4 지1층,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-25:00,정보 없음,0507-1383-1917
모이정,이자카야,4.54,428,서울 마포구 성미산로 122 1층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,0507-1381-2885
다이닝 야경,이자카야,4.58,569,서울 마포구 성미산로 189-6 101호,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,16:00-25:00,00:00,16:00-24:00,00:00,0507-1367-7780
콘티키빠,요리주점,4.94,414,서울 마포구 동교로 227-1 지하 1층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-26:00,01:00,010-2105-3760
장농속,"맥주,호프",0.0,646,서울 마포구 동교로46길 22,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,14:00-25:00,정보 없음,14:00-25:00,정보 없음,070-4065-6212
무채색 숲,요리주점,0.0,226,서울 마포구 동교로32길 10 지하1층 1호,18:00-27:00,02:00,18:00-27:00,02:00,18:00-27:00,02:00,18:00-27:00,02:00,18:00-27:00,02:00,18:00-29:00,04:00,18:00-27:00,02:00,0507-1377-4046
하나킨,이자카야,0.0,541,서울 마포구 동교로32길 8 1층,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,16:00-26:00,정보 없음,16:00-25:00,정보 없음,0507-1322-4213
스탠딩박스,이자카야,0.0,298,서울 마포구 동교로36길 7 101호,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,16:00-24:00,정보 없음,0507-1341-4531
연남고집,요리주점,4.82,482,서울 마포구 동교로38길 7,17:00-26:00,01:00,휴무,정보 없음,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,0507-1354-2457
라온,요리주점,0.0,326,서울 마포구 동교로 266-6 반지층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-24:00,정보 없음,02-2088-6244
노라,이자카야,4.79,328,서울 마포구 성미산로29길 42 1층,휴무,정보 없음,17:30-25:00,23:30,17:30-25:00,23:30,17:30-25:00,23:30,17:30-25:00,23:30,17:30-25:00,23:30,정보 없음,정보 없음,0507-1385-5457
88노가리 연남하우스,"맥주,호프",0.0,125,"서울 마포구 동교로36길 18 지하 1층, 1층, 2층",18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,01:00,0507-1371-5912
뚜이연남,요리주점,0.0,680,서울 마포구 동교로34길 11,17:00-24:00,23:00,휴무,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,23:00,0507-1376-0679
모모키친,이자카야,4.36,462,서울 마포구 동교로34길 3 1층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-26:00,01:00,010-4340-3973
이끔,요리주점,0.0,289,서울 마포구 동교로46길 24-2 2층 이끔,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,010-4169-6302
한잔하다,요리주점,0.0,104,서울 마포구 동교로34길 9 2층,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,16:00-25:00,00:00,16:00-24:00,23:00,0507-1392-8655
바란스,술집,0.0,441,서울 마포구 동교로 266-5 1층,휴무,정보 없음,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,정보 없음,010-8441-4846
쿠루미 1호점,이자카야,4.52,613,서울 마포구 동교로 242-13 2층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,00:00,0507-1401-7315
이자카야라쿤,이자카야,4.75,407,서울 마포구 성미산로29안길 29 라쿤,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,0507-1315-0849
미드나잇 키친 연남점,요리주점,4.7,453,서울 마포구 동교로32길 5 1층,휴무,정보 없음,16:30-26:00,00:30,16:30-26:00,00:30,16:30-26:00,00:30,16:30-26:00,00:30,15:30-26:00,00:30,15:30-26:00,정보 없음,0507-1339-9633
아카사니,이자카야,4.89,338,서울 마포구 동교로 278 1층,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,0507-1488-5060
단단,이자카야,4.4,534,서울 마포구 동교로 266-5,휴무,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,정보 없음,정보 없음,070-8824-2298
리파인 연남점,요리주점,0.0,117,서울 마포구 동교로 265 2층,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,0507-1366-2979
고릴라요정,요리주점,4.59,176,서울 마포구 동교로46길 23 1층,17:00-26:00,16:00 - 17:00 브레이크타임,17:00-26:00,16:00 - 17:00 브레이크타임,17:00-26:00,16:00 - 17:00 브레이크타임,17:00-26:00,16:00 - 17:00 브레이크타임,17:00-26:00,16:00 - 17:00 브레이크타임,17:00-26:00,16:00 - 17:00 브레이크타임,17:00-26:00,16:00 - 17:00 브레이크타임,0507-1317-7037
화령,요리주점,4.47,272,서울 마포구 동교로 261 1층,16:00-26:00,01:30,16:00-26:00,01:30,16:00-26:00,01:30,16:00-26:00,01:30,16:00-27:00,02:30,16:00-27:00,02:30,16:00-26:00,01:30,010-8298-0419
불철,이자카야,0.0,129,서울 마포구 동교로 266-10 B102호 불철,휴무,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,010-7788-1974
미도리,이자카야,4.87,276,서울 마포구 동교로46길 16 지하1층,휴무,정보 없음,17:00-23:00,22:15,17:00-23:00,22:15,17:00-23:00,22:15,17:00-23:00,22:15,16:00-23:00,22:15,16:00-23:00,정보 없음,010-2299-1857
이마치,요리주점,4.5,654,서울 마포구 성미산로29안길 19-7 2층 이마치 (1층은 심원 한 층 더 올라오세요),휴무,정보 없음,14:30-23:00,22:00,14:30-23:00,22:00,14:30-23:00,22:00,14:30-23:00,22:00,14:30-23:00,22:00,14:30-23:00,정보 없음,0507-1396-8557
라온,요리주점,0.0,326,서울 마포구 동교로 266-6 반지층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-24:00,정보 없음,02-2088-6244
바란스,술집,0.0,441,서울 마포구 동교로 266-5 1층,휴무,정보 없음,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,정보 없음,010-8441-4846
청화접,요리주점,0.0,정보 없음,서울 마포구 동교로 268 지하1층 청화접,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,23:00,0507-1333-6580
란콰이진 연남본점,요리주점,4.89,1502,서울 마포구 성미산로29안길 27-6 1층,휴무,정보 없음,정보 없음,정보 없음,17:00-23:30,23:00,17:00-23:30,23:00,17:00-23:30,23:00,16:00-25:00,00:30,16:00-23:30,정보 없음,0507-1439-0774
소주방,요리주점,4.5,988,"서울 마포구 동교로 266-12 1층,2층",17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,16:00-26:00,정보 없음,17:00-24:00,정보 없음,0507-1351-0896
꼬요식당,요리주점,4.83,769,서울 마포구 동교로 275-1 꼬요식당,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-25:00,00:00,0507-1410-8917
화담,요리주점,0.0,852,서울 마포구 성미산로 149-8 1층 화담,17:00-24:00,22:30,17:00-24:00,15:00 - 17:00 브레이크타임,17:00-24:00,15:00 - 17:00 브레이크타임,17:00-24:00,15:00 - 17:00 브레이크타임,17:00-24:00,15:00 - 17:00 브레이크타임,17:00-24:00,15:00 - 17:00 브레이크타임,17:00-24:00,22:30,0507-1407-9076
요코쵸,이자카야,4.5,1441,서울 마포구 성미산로 161-15 1층,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,02-324-8875
전주상회,요리주점,4.46,754,서울 마포구 성미산로 195 106호,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,0507-1397-9777
연주방,요리주점,4.51,905,서울 마포구 동교로46길 7 주차장 쪽 반지층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,16:00-25:00,정보 없음,16:00-25:00,정보 없음,16:00-24:00,정보 없음,010-4346-4026
열정타코,요리주점,4.75,1162,서울 마포구 성미산로29길 42 1층,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,휴무,정보 없음,0507-1386-1365
무채색,요리주점,0.0,463,서울 마포구 동교로32길 19 3층,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-24:00,23:00,0507-1354-4046
이제,요리주점,0.0,161,서울 마포구 동교로 256-3 미소빌딩 1층,17:00-22:50,21:50,휴무,정보 없음,17:00-22:50,21:50,17:00-22:50,21:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-22:50,21:50,0507-1414-1599
모모,이자카야,4.58,501,서울 마포구 동교로 242-6,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-26:00,정보 없음,0507-1369-9781
계담다,요리주점,4.42,정보 없음,"서울 마포구 동교로38길 33-20 지1층, 1층",12:00-25:00,00:00,12:00-25:00,00:00,12:00-25:00,00:00,12:00-25:00,00:00,12:00-26:00,01:00,12:00-26:00,01:00,12:00-25:00,00:00,0507-1321-1881
비등점,이자카야,0.0,286,서울 마포구 동교로38안길 22 1층,17:00-26:00,01:00,휴무,정보 없음,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,0507-1367-3488
시실리,요리주점,0.0,330,서울 마포구 성미산로 198,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-28:00,정보 없음,17:00-28:00,정보 없음,17:00-27:00,정보 없음,0507-1309-8117
쏘슐랭,요리주점,4.73,760,서울 마포구 동교로46길 9 상가1층,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,0507-1397-8483
쿠시파파,이자카야,4.63,458,서울 마포구 동교로 256-4 지층 쿠시파파,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-25:00,정보 없음,0507-1323-3889
이주방,요리주점,4.57,581,서울 마포구 연희로 33 2층,17:00-24:00,정보 없음,휴무,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,0507-1373-3618
무명요리사,이자카야,4.49,487,서울 마포구 동교로32길 3 1층 무명요리사,17:00-29:00,정보 없음,17:00-29:00,정보 없음,17:00-29:00,정보 없음,17:00-29:00,정보 없음,17:00-29:00,정보 없음,17:00-29:00,정보 없음,17:00-29:00,정보 없음,02-3144-3884
카시,이자카야,4.57,644,서울 마포구 동교로34길 12,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,휴무,23:00,02-6083-2683
아디오도시 파리,와인,4.75,725,서울 마포구 동교로46길 7 지하 아디오도시,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,0507-1407-9342
쿠보,이자카야,0.0,122,서울 마포구 동교로 258-1 2층,17:00-26:00,정보 없음,17:00-26:00,정보 없음,휴무,정보 없음,17:00-26:00,정보 없음,17:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-26:00,정보 없음,0507-1359-4352
바다약방,요리주점,0.0,572,서울 마포구 동교로 266-11 1층 바다약방,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-26:00,01:00,16:00-26:00,01:00,16:00-24:00,23:00,0507-1420-9015
연남 안테이쿠,이자카야,0.0,126,서울 마포구 연희로1길 59-3 1층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-27:00,02:00,15:00-27:00,02:00,15:00-25:00,00:00,0507-1391-1480
연남동미로끝,요리주점,0.0,71,서울 마포구 성미산로 190-4 지1층,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-25:00,정보 없음,0507-1383-1917
모이정,이자카야,4.54,428,서울 마포구 성미산로 122 1층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,0507-1381-2885
다이닝 야경,이자카야,4.58,569,서울 마포구 성미산로 189-6 101호,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,16:00-25:00,00:00,16:00-24:00,00:00,0507-1367-7780
콘티키빠,요리주점,4.94,414,서울 마포구 동교로 227-1 지하 1층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-26:00,01:00,010-2105-3760
장농속,"맥주,호프",0.0,646,서울 마포구 동교로46길 22,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,14:00-25:00,정보 없음,14:00-25:00,정보 없음,070-4065-6212
무채색 숲,요리주점,0.0,226,서울 마포구 동교로32길 10 지하1층 1호,18:00-27:00,02:00,18:00-27:00,02:00,18:00-27:00,02:00,18:00-27:00,02:00,18:00-27:00,02:00,18:00-29:00,04:00,18:00-27:00,02:00,0507-1377-4046
하나킨,이자카야,0.0,541,서울 마포구 동교로32길 8 1층,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,16:00-26:00,정보 없음,16:00-25:00,정보 없음,0507-1322-4213
스탠딩박스,이자카야,0.0,298,서울 마포구 동교로36길 7 101호,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,16:00-24:00,정보 없음,0507-1341-4531
연남고집,요리주점,4.82,482,서울 마포구 동교로38길 7,17:00-26:00,01:00,휴무,정보 없음,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,0507-1354-2457
라온,요리주점,0.0,326,서울 마포구 동교로 266-6 반지층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-24:00,정보 없음,02-2088-6244
노라,이자카야,4.79,328,서울 마포구 성미산로29길 42 1층,휴무,정보 없음,17:30-25:00,23:30,17:30-25:00,23:30,17:30-25:00,23:30,17:30-25:00,23:30,17:30-25:00,23:30,정보 없음,정보 없음,0507-1385-5457
88노가리 연남하우스,"맥주,호프",0.0,125,"서울 마포구 동교로36길 18 지하 1층, 1층, 2층",18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,01:00,0507-1371-5912
뚜이연남,요리주점,0.0,680,서울 마포구 동교로34길 11,17:00-24:00,23:00,휴무,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,23:00,0507-1376-0679
모모키친,이자카야,4.36,462,서울 마포구 동교로34길 3 1층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-26:00,01:00,010-4340-3973
이끔,요리주점,0.0,289,서울 마포구 동교로46길 24-2 2층 이끔,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,010-4169-6302
한잔하다,요리주점,0.0,104,서울 마포구 동교로34길 9 2층,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,16:00-25:00,00:00,16:00-24:00,23:00,0507-1392-8655
바란스,술집,0.0,441,서울 마포구 동교로 266-5 1층,휴무,정보 없음,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,정보 없음,010-8441-4846
쿠루미 1호점,이자카야,4.52,613,서울 마포구 동교로 242-13 2층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,00:00,0507-1401-7315
이자카야라쿤,이자카야,4.75,407,서울 마포구 성미산로29안길 29 라쿤,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,0507-1315-0849
미드나잇 키친 연남점,요리주점,4.7,453,서울 마포구 동교로32길 5 1층,휴무,정보 없음,16:30-26:00,00:30,16:30-26:00,00:30,16:30-26:00,00:30,16:30-26:00,00:30,15:30-26:00,00:30,15:30-26:00,정보 없음,0507-1339-9633
아카사니,이자카야,4.89,338,서울 마포구 동교로 278 1층,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,0507-1488-5060
