shop_name,shop_type,shop_star_rating,shop_address,shop_time_info,shop_contact
산울림1992,요리주점,4.39,서울 마포구 동교로 218-1 지하1층 쿠시노주방,"[['영업 중', '23:30에 라스트오더', '23시 30분에 라스트오더', '펼쳐보기']]",010-7245-0503
홍콩포차,요리주점,정보 없음,서울 마포구 홍익로3길 44 2층,"[['영업 중', '06:00에 영업 종료', '6시 0분에 영업 종료'], ['매일', '16:00 - 06:00']]",0507-1335-4002
훈민정음 서울합정점,요리주점,4.52,서울 마포구 독막로7길 21,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['월', '17:00 - 02:00'], ['화', '17:00 - 02:00'], ['수', '17:00 - 02:00'], ['목', '17:00 - 02:00'], ['금', '17:00 - 04:00'], ['토', '17:00 - 04:00'], ['일', '17:00 - 02:00']]",02-336-1447
상수주택,요리주점,4.52,서울 마포구 독막로7길 21,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기']]",0507-1313-4083
락소울윙,요리주점,4.87,서울 마포구 와우산로21길 26 2층,"[['영업 중', '23:30에 라스트오더', '23시 30분에 라스트오더'], ['매일', '15:00 - 24:00', '23:30 라스트오더']]",0507-1376-4268
무채색,요리주점,4.87,서울 마포구 와우산로21길 26 2층,"[['영업 중', '23:30에 라스트오더', '23시 30분에 라스트오더', '펼쳐보기']]",0507-1376-4268
호맥 합정점,"맥주,호프",4.44,서울 마포구 독막로5길 5 대웅빌딩 1층 호맥,"[['영업 중', '00:30에 라스트오더', '0시 30분에 라스트오더'], ['월', '16:30 - 01:30', '00:30 라스트오더'], ['화', '16:30 - 01:30', '00:30 라스트오더'], ['수', '16:30 - 01:30', '00:30 라스트오더'], ['목', '16:30 - 01:30', '00:30 라스트오더'], ['금', '16:30 - 02:00', '01:00 라스트오더'], ['토', '14:00 - 02:00', '01:00 라스트오더'], ['일', '14:00 - 01:30', '00:30 라스트오더']]",02-333-7466
금호동매운닭발,요리주점,4.44,서울 마포구 독막로5길 5 대웅빌딩 1층 호맥,"[['영업 중', '00:30에 라스트오더', '0시 30분에 라스트오더', '펼쳐보기']]",02-333-7466
지하102호 1호점,이자카야,4.72,서울 마포구 양화로6길 57-22 지층 102호,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['월', '16:00 - 02:00', '01:00 라스트오더'], ['화', '16:00 - 02:00', '01:00 라스트오더'], ['수', '16:00 - 02:00', '01:00 라스트오더'], ['목', '16:00 - 02:00', '01:00 라스트오더'], ['금', '15:00 - 03:00', '02:00 라스트오더'], ['토', '15:00 - 03:00', '02:00 라스트오더'], ['일', '15:00 - 03:00', '02:00 라스트오더']]",0507-1308-8648
조선시대,요리주점,4.72,서울 마포구 양화로6길 57-22 지층 102호,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기']]",0507-1308-8648
몽주방,요리주점,정보 없음,서울 마포구 독막로7길 20 1층,"[['영업 중', '02:30에 영업 종료', '2시 30분에 영업 종료'], ['매일', '16:00 - 02:30'], ['줄서는식당 37회, 22.10.10.', '2022년 10월 10일', ' 압력밥솥닭볶음탕/소고기다타키/창난젓크림치즈/통삼겹김치찜']]",0507-1364-7875
연술집,요리주점,4.83,서울 마포구 연희로1길 36 2층 201호,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['월', '15:00 - 24:00'], ['화', '15:00 - 24:00'], ['수', '15:00 - 24:00'], ['목', '15:00 - 24:00'], ['금', '15:00 - 01:00'], ['토', '15:00 - 01:00'], ['일', '15:00 - 24:00'], ['- 4/20 휴무입니다.']]",0507-1358-3675
황소랑,소고기구이,4.83,서울 마포구 연희로1길 36 2층 201호,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기'], ['']]",0507-1358-3675
게포차 김앤김,포장마차,정보 없음,서울 마포구 양화로 100 1층 103호,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['월', '12:00 - 24:00', '23:00 라스트오더'], ['화', '12:00 - 24:00', '23:00 라스트오더'], ['수', '12:00 - 24:00', '23:00 라스트오더'], ['목', '12:00 - 24:00', '23:00 라스트오더'], ['금', '12:00 - 24:00', '23:00 라스트오더'], ['토', '12:00 - 24:00', '23:00 라스트오더'], ['일', '12:00 - 24:00', '23:00 라스트오더']]",02-336-6659
깊은숲,"맥주,호프",4.73,서울 마포구 독막로 27,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무', '펼쳐보기']]",0507-1410-6865
홍대공감,이자카야,4.73,서울 마포구 독막로 27,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무'], ['월', '정기휴무 (매주 월요일)'], ['화', '18:00 - 01:00'], ['수', '18:00 - 01:00'], ['목', '18:00 - 01:00'], ['금', '18:00 - 02:00'], ['토', '17:00 - 02:00'], ['일', '17:00 - 24:00']]",0507-1410-6865
동동포차DDPC,요리주점,4.7,서울 마포구 독막로3길 30 1층,"[['영업 중', '03:00에 영업 종료', '3시 0분에 영업 종료'], ['매일', '17:00 - 03:00']]",02-336-0358
개화기요정,요리주점,4.7,서울 마포구 독막로3길 30 1층,"[['영업 중', '03:00에 영업 종료', '3시 0분에 영업 종료', '펼쳐보기']]",02-336-0358
심야식당밤,이자카야,4.79,서울 마포구 와우산로29바길 16 반지층 심야식당밤,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['매일', '17:00 - 02:00']]",0507-1383-3321
우규,이자카야,4.79,서울 마포구 와우산로29바길 16 반지층 심야식당밤,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기']]",0507-1383-3321
사카바 토리야,이자카야,정보 없음,서울 마포구 독막로3길 38 2층,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무'], ['월', '정기휴무 (매주 월요일)'], ['화', '18:00 - 02:00', '01:30 라스트오더'], ['수', '18:00 - 02:00', '01:30 라스트오더'], ['목', '18:00 - 02:00', '01:30 라스트오더'], ['금', '17:00 - 02:00', '01:30 라스트오더'], ['토', '17:00 - 02:00', '01:30 라스트오더'], ['일', '17:00 - 02:00', '01:30 라스트오더'], ['- 명절/ 휴가 등 특이사항 휴무일은 인스타그램에 공지해요'], ['생방송투데이 3197회, 22.12.22.', '2022년 12월 22일', ' 일본식닭꼬치']]",0507-1353-4741
서플라이디팟,"맥주,호프",4.86,서울 마포구 잔다리로 4 2층,"[['영업 중', '04:00에 영업 종료', '4시 0분에 영업 종료'], ['매일', '17:00 - 04:00']]",010-9311-2431
슈퍼룸방구,포장마차,4.86,서울 마포구 잔다리로 4 2층,"[['영업 중', '04:00에 영업 종료', '4시 0분에 영업 종료', '펼쳐보기']]",010-9311-2431
심야식당하스,이자카야,4.45,서울 마포구 연희로1길 19,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['월', '17:00 - 01:00'], ['화', '17:00 - 01:00'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 02:00'], ['토', '16:00 - 02:00'], ['일', '16:00 - 01:00']]",070-8888-0198
낮달,요리주점,4.45,서울 마포구 연희로1길 19,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기']]",070-8888-0198
몽주막,요리주점,정보 없음,서울 마포구 독막로9길 12 1층 몽주막,"[['영업 중', '00:30에 라스트오더', '0시 30분에 라스트오더'], ['월', '16:00 - 01:00', '00:30 라스트오더'], ['화', '16:00 - 01:00', '00:30 라스트오더'], ['수', '16:00 - 01:00', '00:30 라스트오더'], ['목', '16:00 - 01:00', '00:30 라스트오더'], ['금', '16:00 - 02:30', '02:00 라스트오더'], ['토', '15:00 - 02:30', '02:00 라스트오더'], ['일', '15:30 - 01:00', '00:30 라스트오더']]",0507-1353-3844
무채색 숲,요리주점,정보 없음,서울 마포구 동교로32길 10 지하1층 1호,"[['영업 중', '02:00에 라스트오더', '2시 0분에 라스트오더'], ['월', '18:00 - 03:00', '02:00 라스트오더'], ['화', '18:00 - 03:00', '02:00 라스트오더'], ['수', '18:00 - 03:00', '02:00 라스트오더'], ['목', '18:00 - 03:00', '02:00 라스트오더'], ['금', '18:00 - 03:00', '02:00 라스트오더'], ['토', '18:00 - 05:00', '04:00 라스트오더'], ['일', '18:00 - 03:00', '02:00 라스트오더']]",0507-1377-4046
벽돌포차 홍대점,포장마차,정보 없음,서울 마포구 와우산로17길 5,"[['영업 중', '04:00에 라스트오더', '4시 0분에 라스트오더'], ['월', '17:00 - 05:00', '04:00 라스트오더'], ['화', '17:00 - 05:00', '04:00 라스트오더'], ['수', '17:00 - 05:00', '04:00 라스트오더'], ['목', '17:00 - 05:00', '04:00 라스트오더'], ['금', '18:00 - 06:00', '05:00 라스트오더'], ['토', '17:00 - 06:00', '05:00 라스트오더'], ['일', '17:00 - 05:00', '04:00 라스트오더']]",0507-1404-8881
슬슬,술집,정보 없음,서울 마포구 연희로1길 23,"[['영업 중', '23:00에 영업 종료', '23시 0분에 영업 종료'], ['월', '17:00 - 23:00'], ['화', '17:00 - 23:00'], ['수', '17:00 - 23:00'], ['목', '17:00 - 23:00'], ['금', '17:00 - 23:00'], ['토', '16:00 - 23:00'], ['일', '16:00 - 23:00'], ['- 휴무는 인스타공지 ☆ 148_2seulseul']]",010-3907-0093
주섬주섬,요리주점,4.74,서울 마포구 와우산로21길 36-12,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무'], ['월', '정기휴무 (매주 월요일)'], ['화', '16:00 - 23:00'], ['수', '16:00 - 23:00'], ['목', '16:00 - 23:00'], ['금', '16:00 - 24:00'], ['토', '16:00 - 24:00'], ['일', '16:00 - 23:00'], ['- 월요일 휴무입니다']]",0507-1325-5230
심야식당밤,이자카야,4.74,서울 마포구 와우산로21길 36-12,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기']]",0507-1383-3321
토끼다이닝,요리주점,4.79,서울 마포구 와우산로29바길 16 반지층 심야식당밤,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['매일', '17:00 - 02:00']]",0507-1383-3321
배터리88 홍대점,요리주점,4.4,서울 마포구 와우산로19길 6 1층,"[['영업 중', '05:00에 영업 종료', '5시 0분에 영업 종료'], ['매일', '17:00 - 05:00']]",0507-1487-0883
발리 슈퍼스토어,"맥주,호프",4.4,서울 마포구 와우산로19길 6 1층,"[['영업 중', '05:00에 영업 종료', '5시 0분에 영업 종료', '펼쳐보기']]",0507-1487-0883
서교주담 합정,요리주점,4.75,서울 마포구 어울마당로5길 46 1층 서교주담 합정,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 02:00'], ['토', '15:00 - 02:00'], ['일', '15:00 - 24:00']]",010-5656-9309
배터리88 2호점 홍대입구역점,요리주점,4.75,서울 마포구 어울마당로5길 46 1층 서교주담 합정,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",010-5656-9309
붉은낙타,요리주점,정보 없음,서울 마포구 잔다리로 20-11 1층 붉은낙타,"[['영업 중', '00:00에 라스트오더', '0시 0분에 라스트오더'], ['월', '17:00 - 01:00', '00:00 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 03:00', '02:00 라스트오더'], ['토', '17:00 - 03:00', '02:00 라스트오더'], ['일', '17:00 - 01:00', '00:00 라스트오더'], ['- 에어컨 공사로 인해 이틀 쉬어갑니다 ㅠㅠ']]",070-4833-5965
썬키친,요리주점,4.89,서울 마포구 양화로6길 50 2층,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무'], ['월', '정기휴무 (매주 월요일)'], ['화', '12:00 - 24:00', '23:00 라스트오더'], ['수', '12:00 - 24:00', '23:00 라스트오더'], ['목', '12:00 - 24:00', '23:00 라스트오더'], ['금', '12:00 - 24:00', '23:00 라스트오더'], ['토', '12:00 - 24:00', '23:00 라스트오더'], ['일', '12:00 - 24:00', '23:00 라스트오더']]",0507-1338-4681
맥주왕명주,"맥주,호프",4.89,서울 마포구 양화로6길 50 2층,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무', '펼쳐보기']]",0507-1338-4681
쿠시노주방,이자카야,4.39,서울 마포구 동교로 218-1 지하1층 쿠시노주방,"[['영업 중', '23:30에 라스트오더', '23시 30분에 라스트오더', '펼쳐보기']]",010-7245-0503
산울림1992,요리주점,4.39,서울 마포구 동교로 218-1 지하1층 쿠시노주방,정보 없음,0507-1417-0352
홍콩포차,요리주점,4.45,서울 마포구 서강로9길 60 산울림1992,"[['영업 중', '06:00에 영업 종료', '6시 0분에 영업 종료', '펼쳐보기']]",0507-1335-4002
훈민정음 서울합정점,요리주점,4.52,서울 마포구 독막로7길 21,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['월', '17:00 - 02:00'], ['화', '17:00 - 02:00'], ['수', '17:00 - 02:00'], ['목', '17:00 - 02:00'], ['금', '17:00 - 04:00'], ['토', '17:00 - 04:00'], ['일', '17:00 - 02:00']]",02-336-1447
상수주택,요리주점,4.52,서울 마포구 독막로7길 21,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기']]",02-336-1447
락소울윙,요리주점,4.87,서울 마포구 와우산로21길 26 2층,"[['영업 중', '23:30에 라스트오더', '23시 30분에 라스트오더'], ['매일', '15:00 - 24:00', '23:30 라스트오더']]",0507-1376-4268
무채색,요리주점,4.87,서울 마포구 와우산로21길 26 2층,"[['영업 중', '23:30에 라스트오더', '23시 30분에 라스트오더', '펼쳐보기']]",0507-1376-4268
호맥 합정점,"맥주,호프",4.44,서울 마포구 독막로5길 5 대웅빌딩 1층 호맥,"[['영업 중', '00:30에 라스트오더', '0시 30분에 라스트오더'], ['월', '16:30 - 01:30', '00:30 라스트오더'], ['화', '16:30 - 01:30', '00:30 라스트오더'], ['수', '16:30 - 01:30', '00:30 라스트오더'], ['목', '16:30 - 01:30', '00:30 라스트오더'], ['금', '16:30 - 02:00', '01:00 라스트오더'], ['토', '14:00 - 02:00', '01:00 라스트오더'], ['일', '14:00 - 01:30', '00:30 라스트오더']]",02-333-7466
금호동매운닭발,요리주점,4.44,서울 마포구 독막로5길 5 대웅빌딩 1층 호맥,"[['영업 중', '00:30에 라스트오더', '0시 30분에 라스트오더', '펼쳐보기']]",02-333-7466
지하102호 1호점,이자카야,4.72,서울 마포구 양화로6길 57-22 지층 102호,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기']]",0507-1308-8648
조선시대,요리주점,4.72,서울 마포구 양화로6길 57-22 지층 102호,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['월', '16:00 - 02:00', '01:00 라스트오더'], ['화', '16:00 - 02:00', '01:00 라스트오더'], ['수', '16:00 - 02:00', '01:00 라스트오더'], ['목', '16:00 - 02:00', '01:00 라스트오더'], ['금', '15:00 - 03:00', '02:00 라스트오더'], ['토', '15:00 - 03:00', '02:00 라스트오더'], ['일', '15:00 - 03:00', '02:00 라스트오더']]",0507-1308-8648
몽주방,요리주점,정보 없음,서울 마포구 독막로7길 20 1층,"[['영업 중', '02:30에 영업 종료', '2시 30분에 영업 종료'], ['매일', '16:00 - 02:30'], ['줄서는식당 37회, 22.10.10.', '2022년 10월 10일', ' 압력밥솥닭볶음탕/소고기다타키/창난젓크림치즈/통삼겹김치찜']]",0507-1364-7875
연술집,요리주점,4.83,서울 마포구 연희로1길 36 2층 201호,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기'], ['']]",0507-1358-3675
황소랑,소고기구이,4.83,서울 마포구 연희로1길 36 2층 201호,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['월', '15:00 - 24:00'], ['화', '15:00 - 24:00'], ['수', '15:00 - 24:00'], ['목', '15:00 - 24:00'], ['금', '15:00 - 01:00'], ['토', '15:00 - 01:00'], ['일', '15:00 - 24:00'], ['- 4/20 휴무입니다.']]",0507-1358-3675
게포차 김앤김,포장마차,정보 없음,서울 마포구 양화로 100 1층 103호,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['월', '12:00 - 24:00', '23:00 라스트오더'], ['화', '12:00 - 24:00', '23:00 라스트오더'], ['수', '12:00 - 24:00', '23:00 라스트오더'], ['목', '12:00 - 24:00', '23:00 라스트오더'], ['금', '12:00 - 24:00', '23:00 라스트오더'], ['토', '12:00 - 24:00', '23:00 라스트오더'], ['일', '12:00 - 24:00', '23:00 라스트오더']]",02-336-6659
깊은숲,"맥주,호프",4.73,서울 마포구 독막로 27,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무'], ['월', '정기휴무 (매주 월요일)'], ['화', '18:00 - 01:00'], ['수', '18:00 - 01:00'], ['목', '18:00 - 01:00'], ['금', '18:00 - 02:00'], ['토', '17:00 - 02:00'], ['일', '17:00 - 24:00']]",0507-1410-6865
홍대공감,이자카야,4.73,서울 마포구 독막로 27,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무', '펼쳐보기']]",0507-1410-6865
동동포차DDPC,요리주점,4.7,서울 마포구 독막로3길 30 1층,"[['영업 중', '03:00에 영업 종료', '3시 0분에 영업 종료'], ['매일', '17:00 - 03:00']]",02-336-0358
개화기요정,요리주점,4.7,서울 마포구 독막로3길 30 1층,"[['영업 중', '03:00에 영업 종료', '3시 0분에 영업 종료', '펼쳐보기']]",02-336-0358
심야식당밤,이자카야,4.79,서울 마포구 와우산로29바길 16 반지층 심야식당밤,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['매일', '17:00 - 02:00']]",0507-1383-3321
우규,이자카야,4.79,서울 마포구 와우산로29바길 16 반지층 심야식당밤,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기']]",0507-1383-3321
사카바 토리야,이자카야,정보 없음,서울 마포구 독막로3길 38 2층,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무'], ['월', '정기휴무 (매주 월요일)'], ['화', '18:00 - 02:00', '01:30 라스트오더'], ['수', '18:00 - 02:00', '01:30 라스트오더'], ['목', '18:00 - 02:00', '01:30 라스트오더'], ['금', '17:00 - 02:00', '01:30 라스트오더'], ['토', '17:00 - 02:00', '01:30 라스트오더'], ['일', '17:00 - 02:00', '01:30 라스트오더'], ['- 명절/ 휴가 등 특이사항 휴무일은 인스타그램에 공지해요'], ['생방송투데이 3197회, 22.12.22.', '2022년 12월 22일', ' 일본식닭꼬치']]",0507-1353-4741
서플라이디팟,"맥주,호프",4.86,서울 마포구 잔다리로 4 2층,"[['영업 중', '04:00에 영업 종료', '4시 0분에 영업 종료'], ['매일', '17:00 - 04:00']]",010-9311-2431
슈퍼룸방구,포장마차,4.86,서울 마포구 잔다리로 4 2층,"[['영업 중', '04:00에 영업 종료', '4시 0분에 영업 종료', '펼쳐보기']]",010-9311-2431
심야식당하스,이자카야,4.45,서울 마포구 연희로1길 19,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['월', '17:00 - 01:00'], ['화', '17:00 - 01:00'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 02:00'], ['토', '16:00 - 02:00'], ['일', '16:00 - 01:00']]",070-8888-0198
낮달,요리주점,4.45,서울 마포구 연희로1길 19,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기']]",070-8888-0198
몽주막,요리주점,정보 없음,서울 마포구 독막로9길 12 1층 몽주막,"[['영업 중', '00:30에 라스트오더', '0시 30분에 라스트오더'], ['월', '16:00 - 01:00', '00:30 라스트오더'], ['화', '16:00 - 01:00', '00:30 라스트오더'], ['수', '16:00 - 01:00', '00:30 라스트오더'], ['목', '16:00 - 01:00', '00:30 라스트오더'], ['금', '16:00 - 02:30', '02:00 라스트오더'], ['토', '15:00 - 02:30', '02:00 라스트오더'], ['일', '15:30 - 01:00', '00:30 라스트오더']]",0507-1353-3844
무채색 숲,요리주점,정보 없음,서울 마포구 동교로32길 10 지하1층 1호,"[['영업 중', '02:00에 라스트오더', '2시 0분에 라스트오더'], ['월', '18:00 - 03:00', '02:00 라스트오더'], ['화', '18:00 - 03:00', '02:00 라스트오더'], ['수', '18:00 - 03:00', '02:00 라스트오더'], ['목', '18:00 - 03:00', '02:00 라스트오더'], ['금', '18:00 - 03:00', '02:00 라스트오더'], ['토', '18:00 - 05:00', '04:00 라스트오더'], ['일', '18:00 - 03:00', '02:00 라스트오더']]",0507-1377-4046
벽돌포차 홍대점,포장마차,정보 없음,서울 마포구 와우산로17길 5,"[['영업 중', '04:00에 라스트오더', '4시 0분에 라스트오더'], ['월', '17:00 - 05:00', '04:00 라스트오더'], ['화', '17:00 - 05:00', '04:00 라스트오더'], ['수', '17:00 - 05:00', '04:00 라스트오더'], ['목', '17:00 - 05:00', '04:00 라스트오더'], ['금', '18:00 - 06:00', '05:00 라스트오더'], ['토', '17:00 - 06:00', '05:00 라스트오더'], ['일', '17:00 - 05:00', '04:00 라스트오더']]",0507-1404-8881
슬슬,술집,정보 없음,서울 마포구 연희로1길 23,"[['영업 중', '23:00에 영업 종료', '23시 0분에 영업 종료'], ['월', '17:00 - 23:00'], ['화', '17:00 - 23:00'], ['수', '17:00 - 23:00'], ['목', '17:00 - 23:00'], ['금', '17:00 - 23:00'], ['토', '16:00 - 23:00'], ['일', '16:00 - 23:00'], ['- 휴무는 인스타공지 ☆ 148_2seulseul']]",010-3907-0093
주섬주섬,요리주점,4.74,서울 마포구 와우산로21길 36-12,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무'], ['월', '정기휴무 (매주 월요일)'], ['화', '16:00 - 23:00'], ['수', '16:00 - 23:00'], ['목', '16:00 - 23:00'], ['금', '16:00 - 24:00'], ['토', '16:00 - 24:00'], ['일', '16:00 - 23:00'], ['- 월요일 휴무입니다']]",0507-1325-5230
가로수포차,요리주점,4.74,서울 마포구 와우산로21길 36-12,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무', '펼쳐보기'], ['']]",0507-1325-5230
역전포장마차 홍대점,술집,4.64,서울 마포구 양화로 183 지하1층,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",0507-1376-3340
합정유리,요리주점,4.64,서울 마포구 양화로 183 지하1층,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['월', '16:00 - 24:00'], ['화', '16:00 - 24:00'], ['수', '16:00 - 24:00'], ['목', '16:00 - 24:00'], ['금', '16:00 - 24:00'], ['토', '16:00 - 02:00'], ['일', '16:00 - 24:00']]",정보 없음
사람사는이야기442,요리주점,4.45,서울 마포구 어울마당로5길 52 사사이,"[['영업 중', '04:00에 라스트오더', '4시 0분에 라스트오더', '펼쳐보기']]",0507-1337-0442
밤말,술집,4.45,서울 마포구 어울마당로5길 52 사사이,"[['영업 중', '04:00에 라스트오더', '4시 0분에 라스트오더'], ['월', '16:30 - 05:00', '04:00 라스트오더'], ['화', '16:30 - 05:00', '04:00 라스트오더'], ['수', '16:30 - 05:00', '04:00 라스트오더'], ['목', '16:30 - 05:00', '04:00 라스트오더'], ['금', '16:30 - 05:00', '04:00 라스트오더'], ['토', '15:30 - 05:00', '04:00 라스트오더'], ['일', '15:30 - 05:00', '04:00 라스트오더']]",0507-1337-0442
모양,요리주점,정보 없음,서울 마포구 독막로3길 24-9 1층,"[['영업 중', '23:30에 라스트오더', '23시 30분에 라스트오더'], ['월', '17:00 - 24:00', '23:30 라스트오더'], ['화', '17:00 - 24:00', '23:30 라스트오더'], ['수', '17:00 - 24:00', '23:30 라스트오더'], ['목', '17:00 - 24:00', '23:30 라스트오더'], ['금', '17:00 - 01:00', '00:30 라스트오더'], ['토', '17:00 - 01:00', '00:30 라스트오더'], ['일', '17:00 - 24:00', '23:30 라스트오더'], ['- 새해첫날은 쉽니다 :)'], ['생방송투데이 3126회, 22.08.31.', '2022년 8월 31일', ' 불맛한우힘줄볶음']]",0507-1383-1032
