shop_name,shop_type,shop_star_rating,shop_address,shop_time_info,shop_contact
보틀앤스틱스,와인,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['매일', '16:30 - 02:00', '01:00 라스트오더']]",0507-1414-5689
황제카야,이자카야,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기']]",0507-1414-5689
리파인 일산,요리주점,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['매일', '16:30 - 02:00', '01:00 라스트오더']]",0507-1414-5689
구각 밤리단길 본점,요리주점,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기']]",0507-1414-5689
운도,요리주점,정보 없음,경기 고양시 일산동구 백석로86번길 50 1층,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['매일', '17:00 - 01:00']]",0507-1362-5484
반야관 밤리단길점,요리주점,정보 없음,경기 고양시 일산동구 대산로11번길 14-4 1층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['화', '17:00 - 24:00', '23:00 라스트오더'], ['수', '17:00 - 24:00', '23:00 라스트오더'], ['목', '17:00 - 24:00', '23:00 라스트오더'], ['금', '17:00 - 24:00', '23:00 라스트오더'], ['토', '17:00 - 24:00', '23:00 라스트오더'], ['일', '17:00 - 23:00', '22:00 라스트오더'], ['월', '정기휴무 (매주 월요일)']]",0507-1320-6688
정발가옥 밤리단길본점,요리주점,4.77,경기 고양시 일산동구 대산로11번길 40-2,"[['오늘 휴무', '매주 화요일 휴무', '매주 화요일 휴무'], ['화', '정기휴무 (매주 화요일)'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 01:00'], ['토', '16:00 - 01:00'], ['일', '16:00 - 01:00'], ['월(7/17)', '제헌절16:00 - 01:00']]",0507-1362-8220
코주방,요리주점,4.77,경기 고양시 일산동구 대산로11번길 40-2,"[['오늘 휴무', '매주 화요일 휴무', '매주 화요일 휴무', '펼쳐보기']]",0507-1362-8220
이자카야 이로,이자카야,4.77,경기 고양시 일산동구 대산로11번길 40-2,"[['오늘 휴무', '매주 화요일 휴무', '매주 화요일 휴무'], ['화', '정기휴무 (매주 화요일)'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 01:00'], ['토', '16:00 - 01:00'], ['일', '16:00 - 01:00'], ['월(7/17)', '제헌절16:00 - 01:00']]",0507-1362-8220
노상가는술집,요리주점,4.77,경기 고양시 일산동구 대산로11번길 40-2,"[['오늘 휴무', '매주 화요일 휴무', '매주 화요일 휴무', '펼쳐보기']]",0507-1362-8220
토모루,이자카야,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['매일', '16:30 - 02:00', '01:00 라스트오더']]",0507-1414-5689
제니스 산전수전,요리주점,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기']]",0507-1414-5689
최상위 밤리단길점,요리주점,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['매일', '16:30 - 02:00', '01:00 라스트오더']]",0507-1414-5689
칸쿤낭만비어 풍동점,"맥주,호프",4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기']]",0507-1414-5689
손씨포차,포장마차,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['매일', '16:30 - 02:00', '01:00 라스트오더']]",0507-1414-5689
수라포차,요리주점,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기']]",0507-1414-5689
청연,요리주점,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['매일', '16:30 - 02:00', '01:00 라스트오더']]",0507-1414-5689
용용선생 일산라페스타점,요리주점,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기']]",0507-1414-5689
요인,이자카야,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['매일', '16:30 - 02:00', '01:00 라스트오더']]",0507-1414-5689
퓨전포차주접N,"맥주,호프",4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기']]",0507-1414-5689
화류,이자카야,4.35,경기 고양시 일산동구 위시티로 55-14 1층,"[['영업 중', '01:15에 라스트오더', '1시 15분에 라스트오더'], ['화', '16:30 - 02:00', '01:15 라스트오더'], ['수', '16:30 - 02:00', '01:15 라스트오더'], ['목', '16:30 - 02:00', '01:15 라스트오더'], ['금', '16:30 - 02:00', '01:15 라스트오더'], ['토', '16:30 - 02:00', '01:15 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월', '16:30 - 02:00', '01:15 라스트오더']]",031-965-5815
1987래빗,술집,4.35,경기 고양시 일산동구 위시티로 55-14 1층,"[['영업 중', '01:15에 라스트오더', '1시 15분에 라스트오더', '펼쳐보기']]",031-965-5815
"쉼, 어묵 그리고 한잔 술 백석점","오뎅,꼬치",4.35,경기 고양시 일산동구 위시티로 55-14 1층,"[['영업 중', '01:15에 라스트오더', '1시 15분에 라스트오더'], ['화', '16:30 - 02:00', '01:15 라스트오더'], ['수', '16:30 - 02:00', '01:15 라스트오더'], ['목', '16:30 - 02:00', '01:15 라스트오더'], ['금', '16:30 - 02:00', '01:15 라스트오더'], ['토', '16:30 - 02:00', '01:15 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월', '16:30 - 02:00', '01:15 라스트오더']]",031-965-5815
레드제플린,바(BAR),4.35,경기 고양시 일산동구 위시티로 55-14 1층,"[['영업 중', '01:15에 라스트오더', '1시 15분에 라스트오더', '펼쳐보기']]",031-965-5815
전류 일산밤리단길점,와인,4.35,경기 고양시 일산동구 위시티로 55-14 1층,"[['영업 중', '01:15에 라스트오더', '1시 15분에 라스트오더'], ['화', '16:30 - 02:00', '01:15 라스트오더'], ['수', '16:30 - 02:00', '01:15 라스트오더'], ['목', '16:30 - 02:00', '01:15 라스트오더'], ['금', '16:30 - 02:00', '01:15 라스트오더'], ['토', '16:30 - 02:00', '01:15 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월', '16:30 - 02:00', '01:15 라스트오더']]",031-965-5815
비스트로온,이자카야,4.35,경기 고양시 일산동구 위시티로 55-14 1층,"[['영업 중', '01:15에 라스트오더', '1시 15분에 라스트오더', '펼쳐보기']]",031-965-5815
복덕주점 밤리단길,요리주점,4.35,경기 고양시 일산동구 위시티로 55-14 1층,"[['영업 중', '01:15에 라스트오더', '1시 15분에 라스트오더'], ['화', '16:30 - 02:00', '01:15 라스트오더'], ['수', '16:30 - 02:00', '01:15 라스트오더'], ['목', '16:30 - 02:00', '01:15 라스트오더'], ['금', '16:30 - 02:00', '01:15 라스트오더'], ['토', '16:30 - 02:00', '01:15 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월', '16:30 - 02:00', '01:15 라스트오더']]",031-965-5815
지느러미,바(BAR),4.35,경기 고양시 일산동구 위시티로 55-14 1층,"[['영업 중', '01:15에 라스트오더', '1시 15분에 라스트오더', '펼쳐보기']]",031-965-5815
밀회관 파주야당역점,"맥주,호프",4.35,경기 고양시 일산동구 위시티로 55-14 1층,"[['영업 중', '01:15에 라스트오더', '1시 15분에 라스트오더'], ['화', '16:30 - 02:00', '01:15 라스트오더'], ['수', '16:30 - 02:00', '01:15 라스트오더'], ['목', '16:30 - 02:00', '01:15 라스트오더'], ['금', '16:30 - 02:00', '01:15 라스트오더'], ['토', '16:30 - 02:00', '01:15 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월', '16:30 - 02:00', '01:15 라스트오더']]",031-965-5815
임가주방 벨라시타점,이자카야,4.35,경기 고양시 일산동구 위시티로 55-14 1층,"[['영업 중', '01:15에 라스트오더', '1시 15분에 라스트오더', '펼쳐보기']]",031-965-5815
1943 일산점,요리주점,4.59,경기 고양시 일산동구 중앙로1261번길 55 효산캐슬 115호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['매일', '17:00 - 01:00']]",031-905-5927
푸른술집할라 일산라페스타점,요리주점,4.59,경기 고양시 일산동구 중앙로1261번길 55 효산캐슬 115호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기']]",031-905-5927
노노스탄테,와인,4.59,경기 고양시 일산동구 중앙로1261번길 55 효산캐슬 115호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['매일', '17:00 - 01:00']]",031-905-5927
청담이상 일산라페스타점,이자카야,4.59,경기 고양시 일산동구 중앙로1261번길 55 효산캐슬 115호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기']]",031-905-5927
산카이 대화역점,이자카야,4.59,경기 고양시 일산동구 중앙로1261번길 55 효산캐슬 115호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['매일', '17:00 - 01:00']]",031-905-5927
설맥 일산식사점,"맥주,호프",4.59,경기 고양시 일산동구 중앙로1261번길 55 효산캐슬 115호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기']]",031-905-5927
산카이 일산본점,이자카야,4.59,경기 고양시 일산동구 중앙로1261번길 55 효산캐슬 115호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['매일', '17:00 - 01:00']]",031-905-5927
데미안,바(BAR),4.59,경기 고양시 일산동구 중앙로1261번길 55 효산캐슬 115호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기']]",031-905-5927
역전할머니맥주 일산웨스턴돔점,"맥주,호프",4.59,경기 고양시 일산동구 중앙로1261번길 55 효산캐슬 115호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['매일', '17:00 - 01:00']]",031-905-5927
하루비어 탄현위브더제니스점,"맥주,호프",4.59,경기 고양시 일산동구 중앙로1261번길 55 효산캐슬 115호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기']]",031-905-5927
